PER_PROGRAM_BASELINE
Benchmark,Precision,Recall
url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8,0.3759,0.391
url2b521cbda7_eobermuhlner_jhuge_tgz-pJ8-ch_obermuhlner_jhuge_example_MeasureHeapJ8,0.4205,1.0
url2d0aeba8a7_kobantser_Calculator_tgz-pJ8-com_teamdev_students_calculator_impl_StateMachineCalculatorJ8,0.2486,0.9967
url088e9d87be_jpush_jpush_java_library_tgz-pJ8-cn_jpush_example_JPushClientExampleJ8,0.0298,1.0
url2b9f720f64_jfimbett_QBnB_tgz-pJ8-tests_TestJ8,0.8528,1.0
url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8,0.5262,1.0
url027b37a4db_ctriposs_bigmap_tgz-pJ8-com_ctriposs_bigmap_LimitTestJ8,0.1859,1.0
url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8,0.6923,1.0
url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8,0.1692,1.0
url47087446e9_kellrott_SparqlScape_tgz-pJ8-org_json_TestJ8,0.2635,0.9939
url400631cdd0_ludaiqian_appliedxml_tgz-pJ8-test_simples_TestJ8,0.0542,1.0
url24d793285d_auzll_gengweibo_tgz-pJ8-org_json_TestJ8,0.2229,0.9925
url47e6aca666_pocorall_automaton_tgz-pJ8-net_pocorall_automaton_DatatypesJ8,0.1273,1.0
url47ebb27197_asirbu_CorrectiveEvolution_tgz-pJ8-eu_fbk_soa_evolution_engine_impl_test_ProblemToSMVFuncTestJ8,0.0406,0.9951
url0980c8326f_TobiasScharnowski_Chess_tgz-pJ8-chess_StartJ8,0.8046,1.0
url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8,0.1129,1.0
url458e40ff41_mmacfadden_java_baldwin_ga_tgz-pJ8-edu_sdsu_cs652_si_baldwin_SimulationEngineJ8,0.2327,1.0
url36deadcd05_SCass1986_spawncamping_cyril_tgz-pJ8-org_stephen_hashmap_MainJ8,0.0889,0.5232
url27a7ae3508_serkan_ozal_ocean_of_memories_tgz-pJ8-com_zeroturnaround_rebellabs_oceanofmemories_article1_objectlayout_ObjectMemoryLayoutDemoJ8,0.1455,1.0
url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8,0.0023,0.5349
url0f7f8f6435_TimmiTBy_Epam_tgz-pJ8-com_epam_electricalappliance_RunnerJ8,0.1362,1.0
url27db8982cd_leohinterlang_argFace_tgz-pJ8-com_fidelis_argface_ArgSampleJ8,0.5376,0.971
url0d084b4168_zhourui392_BaiduPicDown_tgz-pJ8-org_json_TestJ8,0.2649,0.9938
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,0.2516,1.0
url0e7d57473a_kyorohiro_HetimaUtil_tgz-pJ8-net_hetimatan_net_http_HttpServer3xxJ8,0.0695,1.0
url3ee04818e8_abliss_poker_tgz-pJ8-TestJ8,0.0399,1.0
url416ee5b4ee_martinmarinov_HonProj_tgz-pJ8-martin_gui_MainJ8,0.1721,1.0
url054c08669f_jules2689_CSI4124_tgz-pJ8-SMThemeParkExperi3J8,0.5771,1.0
url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,0.2969,1.0
url147ce07ebe_JoshuaKissoon_Kademlia_tgz-pJ8-kademlia_simulations_RoutingTableStateTestingJ8,0.0387,0.9987
url1d5e9d990f_Telsis_jOCP_tgz-pJ8-com_telsis_jocp_sampleApp_BasicOCPAppJ8,0.0575,0.988
url21b471891f_Agetac_Model_tgz-pJ8-org_json_TestJ8,0.2639,0.9937
url2e4fca7217_mark_lacdao_RPGClient_tgz-pJ8-org_nerv_rpgclient_MainJ8,0.3066,1.0
