NPE_INV,org.apache.log4j.helpers.LogLog.warn(Ljava/lang/String;Ljava/lang/Throwable;)V,java.lang.Throwable.printStackTrace()V
NPE_INV,org.apache.log4j.WriterAppender.writeFooter()V,org.apache.log4j.helpers.QuietWriter.write(Ljava/lang/String;)V
NPE_INV,org.apache.log4j.WriterAppender.writeFooter()V,org.apache.log4j.helpers.QuietWriter.flush()V
NPE_INV,org.apache.log4j.WriterAppender.writeHeader()V,org.apache.log4j.helpers.QuietWriter.write(Ljava/lang/String;)V
NPE_INV,org.apache.log4j.WriterAppender.closeWriter()V,java.io.FilterWriter.close()V
NPE_INV,org.apache.log4j.config.PropertySetter.getPropertyDescriptor(Ljava/lang/String;)Ljava/beans/PropertyDescriptor;,java.beans.FeatureDescriptor.getName()Ljava/lang/String;
NPE_INV,org.apache.log4j.config.PropertySetter.setProperty(Ljava/beans/PropertyDescriptor;Ljava/lang/String;Ljava/lang/String;)V,java.beans.PropertyDescriptor.getWriteMethod()Ljava/lang/reflect/Method;
NPE_INV,org.apache.log4j.config.PropertySetterException.getMessage()Ljava/lang/String;,java.lang.Throwable.getMessage()Ljava/lang/String;
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.addAppender(Lorg/apache/log4j/Appender;)V,java.util.Vector.contains(Ljava/lang/Object;)Z
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.addAppender(Lorg/apache/log4j/Appender;)V,java.util.Vector.addElement(Ljava/lang/Object;)V
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.removeAllAppenders()V,java.util.Vector.size()I
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.removeAllAppenders()V,java.util.Vector.elementAt(I)Ljava/lang/Object;
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.removeAllAppenders()V,java.util.Vector.removeAllElements()V
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.appendLoopOnAppenders(Lorg/apache/log4j/spi/LoggingEvent;)I,java.util.Vector.size()I
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.appendLoopOnAppenders(Lorg/apache/log4j/spi/LoggingEvent;)I,java.util.Vector.elementAt(I)Ljava/lang/Object;
NPE_INV,org.apache.log4j.WriterAppender.subAppend(Lorg/apache/log4j/spi/LoggingEvent;)V,org.apache.log4j.helpers.QuietWriter.write(Ljava/lang/String;)V
NPE_INV,org.apache.log4j.WriterAppender.subAppend(Lorg/apache/log4j/spi/LoggingEvent;)V,org.apache.log4j.helpers.QuietWriter.write(Ljava/lang/String;)V
NPE_INV,org.apache.log4j.WriterAppender.subAppend(Lorg/apache/log4j/spi/LoggingEvent;)V,org.apache.log4j.helpers.QuietWriter.write(Ljava/lang/String;)V
NPE_INV,org.apache.log4j.WriterAppender.subAppend(Lorg/apache/log4j/spi/LoggingEvent;)V,org.apache.log4j.helpers.QuietWriter.flush()V
NPE_INV,org.apache.log4j.helpers.PatternConverter.format(Ljava/lang/StringBuffer;Lorg/apache/log4j/spi/LoggingEvent;)V,java.lang.String.length()I
NPE_INV,org.apache.log4j.helpers.PatternConverter.format(Ljava/lang/StringBuffer;Lorg/apache/log4j/spi/LoggingEvent;)V,java.lang.String.substring(I)Ljava/lang/String;
NPE_INV,org.apache.log4j.spi.ThrowableInformation.getThrowableStrRep()[Ljava/lang/String;,java.lang.Object.clone()Ljava/lang/Object;
NPE_INV,org.apache.log4j.helpers.PatternParser$NamedPatternConverter.convert(Lorg/apache/log4j/spi/LoggingEvent;)Ljava/lang/String;,java.lang.String.length()I
NPE_INV,org.apache.log4j.helpers.PatternParser$NamedPatternConverter.convert(Lorg/apache/log4j/spi/LoggingEvent;)Ljava/lang/String;,java.lang.String.lastIndexOf(II)I
NPE_INV,org.apache.log4j.helpers.PatternParser$NamedPatternConverter.convert(Lorg/apache/log4j/spi/LoggingEvent;)Ljava/lang/String;,java.lang.String.substring(II)Ljava/lang/String;
NPE_INV,org.apache.log4j.spi.LocationInfo.getFileName()Ljava/lang/String;,java.lang.String.lastIndexOf(I)I
NPE_INV,org.apache.log4j.spi.LocationInfo.getFileName()Ljava/lang/String;,java.lang.String.lastIndexOf(II)I
NPE_INV,org.apache.log4j.spi.LocationInfo.getFileName()Ljava/lang/String;,java.lang.String.substring(II)Ljava/lang/String;
NPE_INV,org.apache.log4j.spi.LocationInfo.getLineNumber()Ljava/lang/String;,java.lang.String.lastIndexOf(I)I
NPE_INV,org.apache.log4j.spi.LocationInfo.getLineNumber()Ljava/lang/String;,java.lang.String.lastIndexOf(II)I
NPE_INV,org.apache.log4j.spi.LocationInfo.getLineNumber()Ljava/lang/String;,java.lang.String.substring(II)Ljava/lang/String;
NPE_INV,org.apache.log4j.spi.LocationInfo.getMethodName()Ljava/lang/String;,java.lang.String.lastIndexOf(I)I
NPE_INV,org.apache.log4j.spi.LocationInfo.getMethodName()Ljava/lang/String;,java.lang.String.lastIndexOf(II)I
NPE_INV,org.apache.log4j.spi.LocationInfo.getMethodName()Ljava/lang/String;,java.lang.String.substring(II)Ljava/lang/String;
NPE_INV,org.apache.log4j.spi.LocationInfo.getClassName()Ljava/lang/String;,java.lang.String.lastIndexOf(I)I
NPE_INV,org.apache.log4j.spi.LocationInfo.getClassName()Ljava/lang/String;,java.lang.String.lastIndexOf(II)I
NPE_INV,org.apache.log4j.spi.LocationInfo.getClassName()Ljava/lang/String;,java.lang.String.lastIndexOf(II)I
NPE_INV,org.apache.log4j.spi.LocationInfo.getClassName()Ljava/lang/String;,java.lang.String.substring(II)Ljava/lang/String;
Done
