NPE_INV,fri.patterns.interpreter.parsergenerator.examples.HowToOverrideLexerImpl.main([Ljava/lang/String;)V,fri.patterns.interpreter.parsergenerator.Parser.parse(Ljava/lang/Object;)Z
NPE_INV,fri.patterns.interpreter.parsergenerator.builder.SerializedParser.get(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;)Lfri/patterns/interpreter/parsergenerator/Parser;,fri.patterns.interpreter.parsergenerator.syntax.builder.SyntaxSeparation.getParserSyntax()Lfri/patterns/interpreter/parsergenerator/syntax/Syntax;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.resolveSingulars()V,fri.patterns.interpreter.parsergenerator.syntax.Rule.getNonterminal()Ljava/lang/String;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.resolveSingulars()V,fri.patterns.interpreter.parsergenerator.syntax.Rule.rightSize()I
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.resolveSingulars()V,fri.patterns.interpreter.parsergenerator.syntax.Rule.getRightSymbol(I)Ljava/lang/String;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.resolveSingulars()V,java.lang.String.equals(Ljava/lang/Object;)Z
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.resolveSingulars()V,fri.patterns.interpreter.parsergenerator.syntax.Rule.getRightSymbol(I)Ljava/lang/String;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.resolveSingulars()V,fri.patterns.interpreter.parsergenerator.syntax.Rule.setRightSymbol(Ljava/lang/String;I)V
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.builder.ArtificialRule.resolveArtificialRules(Ljava/util/List;Ljava/util/List;)V,java.util.List.size()I
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.builder.ArtificialRule.resolveArtificialRules(Ljava/util/List;Ljava/util/List;)V,java.util.List.get(I)Ljava/lang/Object;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.builder.ArtificialRule.resolveArtificialRules(Ljava/util/List;Ljava/util/List;)V,java.util.List.size()I
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.builder.ArtificialRule.resolveArtificialRules(Ljava/util/List;Ljava/util/List;)V,java.util.List.get(I)Ljava/lang/Object;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.builder.ArtificialRule.resolveArtificialRules(Ljava/util/List;Ljava/util/List;)V,java.lang.Object.toString()Ljava/lang/String;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.builder.ArtificialRule.resolveArtificialRules(Ljava/util/List;Ljava/util/List;)V,java.util.List.set(ILjava/lang/Object;)Ljava/lang/Object;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.builder.ArtificialRule.resolveArtificialRules(Ljava/util/List;Ljava/util/List;)V,fri.patterns.interpreter.parsergenerator.syntax.builder.ArtificialRule.getRules()Ljava/util/List;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,fri.patterns.interpreter.parsergenerator.syntax.Rule.getNonterminal()Ljava/lang/String;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,fri.patterns.interpreter.parsergenerator.syntax.Rule.rightSize()I
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,java.lang.String.startsWith(Ljava/lang/String;)Z
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,java.lang.String.equals(Ljava/lang/Object;)Z
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,java.lang.String.equals(Ljava/lang/Object;)Z
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,fri.patterns.interpreter.parsergenerator.syntax.Rule.getNonterminal()Ljava/lang/String;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,java.lang.String.equals(Ljava/lang/Object;)Z
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,fri.patterns.interpreter.parsergenerator.syntax.Rule.getRightSymbol(I)Ljava/lang/String;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,fri.patterns.interpreter.parsergenerator.syntax.Rule.rightSize()I
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,fri.patterns.interpreter.parsergenerator.syntax.Rule.getRightSymbol(I)Ljava/lang/String;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,java.lang.String.equals(Ljava/lang/Object;)Z
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,fri.patterns.interpreter.parsergenerator.syntax.Rule.indexOnRightSide(Ljava/lang/String;)I
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.removeSingular()Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,java.util.List.remove(I)Ljava/lang/Object;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.size()I,java.util.List.size()I
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.Syntax.getRule(I)Lfri/patterns/interpreter/parsergenerator/syntax/Rule;,java.util.List.get(I)Ljava/lang/Object;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.builder.SyntaxSeparation.separate(Lfri/patterns/interpreter/parsergenerator/syntax/Syntax;Lfri/patterns/interpreter/parsergenerator/syntax/builder/SyntaxSeparation$IntArray;)V,fri.patterns.interpreter.parsergenerator.syntax.Rule.getNonterminal()Ljava/lang/String;
NPE_INV,fri.patterns.interpreter.parsergenerator.syntax.builder.SyntaxSeparation.separate(Lfri/patterns/interpreter/parsergenerator/syntax/Syntax;Lfri/patterns/interpreter/parsergenerator/syntax/builder/SyntaxSeparation$IntArray;)V,java.lang.String.equals(Ljava/lang/Object;)Z
