NPE_GET,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.addressOfClass(Ljava/lang/Class;)J,Lcom/zeroturnaround/rebellabs/oceanofmemories/common/util/JvmUtil$ClassInfo.classAddress J
NPE_INV,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.fieldsLayoutAsString(Ljava/lang/Class;)Ljava/lang/String;,java.util.Map$Entry.getKey()Ljava/lang/Object;
NPE_INV,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.fieldsLayoutAsString(Ljava/lang/Class;)Ljava/lang/String;,java.util.Map$Entry.getKey()Ljava/lang/Object;
NPE_INV,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.fieldsLayoutAsString(Ljava/lang/Class;)Ljava/lang/String;,java.lang.Long.longValue()J
NPE_INV,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.fieldsLayoutAsString(Ljava/lang/Class;)Ljava/lang/String;,java.util.Map$Entry.getKey()Ljava/lang/Object;
NPE_INV,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.fieldsLayoutAsString(Ljava/lang/Class;)Ljava/lang/String;,java.lang.Long.longValue()J
NPE_INV,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.fieldsLayoutAsString(Ljava/lang/Class;)Ljava/lang/String;,java.util.Map$Entry.getValue()Ljava/lang/Object;
NPE_INV,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.measureSizeOf(Ljava/util/ArrayList;)J,java.lang.Object.getClass()Ljava/lang/Class;
NPE_INV,org.apache.log4j.helpers.OptionConverter.selectAndConfigure(Ljava/net/URL;Ljava/lang/String;Lorg/apache/log4j/spi/LoggerRepository;)V,java.net.URL.getFile()Ljava/lang/String;
NPE_INV,org.apache.log4j.helpers.LogLog.warn(Ljava/lang/String;Ljava/lang/Throwable;)V,java.lang.Throwable.printStackTrace()V
NPE_INV,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.getHotspotSpecifics(I)Lcom/zeroturnaround/rebellabs/oceanofmemories/common/util/JvmUtil$VMOptions;,org.apache.log4j.Logger.error(Ljava/lang/Object;Ljava/lang/Throwable;)V
