NPE_INV,Hand.draw(LDeck;Ljava/util/List;)LHand;,java.lang.Integer.intValue()I
NPE_INV,com.google.common.collect.Multisets.sizeImpl(Lcom/google/common/collect/Multiset;)I,java.util.Set.iterator()Ljava/util/Iterator;
NPE_INV,Hand.compareTo(LHand;)I,java.util.List.size()I
NPE_INV,Hand.compareTo(LHand;)I,java.util.List.size()I
NPE_INV,Hand.compareTo(LHand;)I,java.util.List.size()I
NPE_INV,Hand.compareTo(LHand;)I,java.util.List.size()I
NPE_INV,Hand.compareTo(LHand;)I,java.util.List.size()I
NPE_INV,Hand.compareTo(LHand;)I,java.util.List.get(I)Ljava/lang/Object;
NPE_INV,Hand.compareTo(LHand;)I,Card.getRank()LCard$Rank;
NPE_INV,Hand.compareTo(LHand;)I,java.util.List.get(I)Ljava/lang/Object;
NPE_INV,Hand.compareTo(LHand;)I,Card.getRank()LCard$Rank;
NPE_INV,Hand.compareTo(LHand;)I,java.util.List.get(I)Ljava/lang/Object;
NPE_INV,Hand.compareTo(LHand;)I,Card.getRank()LCard$Rank;
NPE_INV,Hand.compareTo(LHand;)I,java.util.List.get(I)Ljava/lang/Object;
NPE_INV,Hand.compareTo(LHand;)I,Card.getRank()LCard$Rank;
NPE_INV,Hand.toString()Ljava/lang/String;,Card.getRank()LCard$Rank;
NPE_INV,Deck.toString()Ljava/lang/String;,Card.toString()Ljava/lang/String;
NPE_INV,Distribution.toString()Ljava/lang/String;,Hand.playableHand()Ljava/util/List;
NPE_INV,Distribution.toString()Ljava/lang/String;,com.google.common.collect.Multiset.add(Ljava/lang/Object;)Z
NPE_INV,Card.compareTo(Ljava/lang/Object;)I,Card.getRank()LCard$Rank;
NPE_INV,Card.compareTo(Ljava/lang/Object;)I,Card.getRank()LCard$Rank;
NPE_INV,Card.compareTo(Ljava/lang/Object;)I,Card.getSuit()LCard$Suit;
NPE_INV,Hand.equals(Ljava/lang/Object;)Z,Hand.getCards()Ljava/util/List;
NPE_INV,Card.equals(Ljava/lang/Object;)Z,Card.getRank()LCard$Rank;
NPE_INV,Card.equals(Ljava/lang/Object;)Z,Card.getSuit()LCard$Suit;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset.entryIterator()Ljava/util/Iterator;,java.util.Map.entrySet()Ljava/util/Set;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset.entryIterator()Ljava/util/Iterator;,java.util.Set.iterator()Ljava/util/Iterator;
NPE_INV,com.google.common.collect.NaturalOrdering.compare(Ljava/lang/Comparable;Ljava/lang/Comparable;)I,java.lang.Comparable.compareTo(Ljava/lang/Object;)I
NPE_INV,Hand.getHandValues()Ljava/util/Map;,java.util.Set.size()I
NPE_INV,Distribution.display(Ljava/util/Collection;I)Ljava/lang/String;,java.util.Collection.size()I
NPE_INV,Distribution.display(Ljava/util/Collection;I)Ljava/lang/String;,java.util.Collection.size()I
NPE_INV,Distribution.display(Ljava/util/Collection;I)Ljava/lang/String;,java.util.Collection.size()I
NPE_INV,Distribution.display(Ljava/util/Collection;I)Ljava/lang/String;,java.util.Collection.size()I
NPE_INV,com.google.common.collect.Multisets.addAllImpl(Lcom/google/common/collect/Multiset;Ljava/util/Collection;)Z,java.util.Set.iterator()Ljava/util/Iterator;
NPE_INV,com.google.common.collect.Multisets.addAllImpl(Lcom/google/common/collect/Multiset;Ljava/util/Collection;)Z,com.google.common.collect.Multiset$Entry.getElement()Ljava/lang/Object;
NPE_INV,com.google.common.collect.Multisets.addAllImpl(Lcom/google/common/collect/Multiset;Ljava/util/Collection;)Z,com.google.common.collect.Multiset$Entry.getCount()I
NPE_INV,Hand.canPlay(Ljava/util/List;)Z,Card.getSuit()LCard$Suit;
NPE_INV,Hand.canPlay(Ljava/util/List;)Z,Card.getRank()LCard$Rank;
NPE_INV,Hand.canPlay(Ljava/util/List;)Z,Card.getSuit()LCard$Suit;
NPE_INV,Hand.canPlay(Ljava/util/List;)Z,Card.getRank()LCard$Rank;
NPE_INV,com.google.common.collect.ForwardingCollection.isEmpty()Z,java.util.Collection.isEmpty()Z
NPE_INV,com.google.common.collect.Multisets$UnmodifiableMultiset.iterator()Ljava/util/Iterator;,com.google.common.collect.Multiset.iterator()Ljava/util/Iterator;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$MapBasedMultisetIterator.<init>(Lcom/google/common/collect/AbstractMapBasedMultiset;)V,java.util.Map.entrySet()Ljava/util/Set;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$MapBasedMultisetIterator.<init>(Lcom/google/common/collect/AbstractMapBasedMultiset;)V,java.util.Set.iterator()Ljava/util/Iterator;
NPE_INV,com.google.common.collect.AbstractMultiset.isEmpty()Z,java.util.Set.isEmpty()Z
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset.add(Ljava/lang/Object;I)I,java.util.Map.get(Ljava/lang/Object;)Ljava/lang/Object;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset.add(Ljava/lang/Object;I)I,java.util.Map.put(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset.add(Ljava/lang/Object;I)I,com.google.common.collect.Count.get()I
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset.add(Ljava/lang/Object;I)I,com.google.common.collect.Count.getAndAdd(I)I
NPE_INV,com.google.common.base.Preconditions.format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;,java.lang.String.length()I
NPE_INV,com.google.common.base.Preconditions.format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;,java.lang.String.indexOf(Ljava/lang/String;I)I
NPE_INV,com.google.common.base.Preconditions.format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;,java.lang.String.substring(II)Ljava/lang/String;
NPE_INV,com.google.common.base.Preconditions.format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;,java.lang.String.substring(I)Ljava/lang/String;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset.count(Ljava/lang/Object;)I,java.util.Map.get(Ljava/lang/Object;)Ljava/lang/Object;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset.count(Ljava/lang/Object;)I,com.google.common.collect.Count.get()I
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset.distinctElements()I,java.util.Map.size()I
NPE_INV,com.google.common.collect.Iterables$4.iterator()Ljava/util/Iterator;,java.lang.Iterable.iterator()Ljava/util/Iterator;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$MapBasedMultisetIterator.next()Ljava/lang/Object;,java.util.Map$Entry.getValue()Ljava/lang/Object;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$MapBasedMultisetIterator.next()Ljava/lang/Object;,com.google.common.collect.Count.get()I
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$MapBasedMultisetIterator.next()Ljava/lang/Object;,java.util.Map$Entry.getKey()Ljava/lang/Object;
NPE_INV,com.google.common.collect.Multisets$UnmodifiableMultiset.entrySet()Ljava/util/Set;,com.google.common.collect.Multiset.entrySet()Ljava/util/Set;
NPE_INV,com.google.common.collect.SingletonImmutableList.toString()Ljava/lang/String;,java.lang.Object.toString()Ljava/lang/String;
NPE_INV,com.google.common.collect.SingletonImmutableList.toString()Ljava/lang/String;,java.lang.String.length()I
NPE_INV,com.google.common.collect.AbstractMultiset.toString()Ljava/lang/String;,java.lang.Object.toString()Ljava/lang/String;
NPE_INV,com.google.common.collect.SingletonImmutableList.hashCode()I,java.lang.Object.hashCode()I
NPE_INV,com.google.common.collect.RegularImmutableList.hashCode()I,java.lang.Object.hashCode()I
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$1$1.getCount()I,java.util.Map$Entry.getValue()Ljava/lang/Object;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$1$1.getCount()I,com.google.common.collect.Count.get()I
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$1$1.getCount()I,java.util.Map.get(Ljava/lang/Object;)Ljava/lang/Object;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$1$1.getCount()I,com.google.common.collect.Count.get()I
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$1$1.getElement()Ljava/lang/Object;,java.util.Map$Entry.getKey()Ljava/lang/Object;
NPE_INV,com.google.common.collect.SingletonImmutableList.equals(Ljava/lang/Object;)Z,java.util.List.size()I
NPE_INV,com.google.common.collect.SingletonImmutableList.equals(Ljava/lang/Object;)Z,java.util.List.get(I)Ljava/lang/Object;
NPE_INV,com.google.common.collect.SingletonImmutableList.equals(Ljava/lang/Object;)Z,java.lang.Object.equals(Ljava/lang/Object;)Z
NPE_INV,com.google.common.collect.RegularImmutableList.equals(Ljava/lang/Object;)Z,java.util.List.size()I
NPE_GET,com.google.common.collect.RegularImmutableList.equals(Ljava/lang/Object;)Z,Lcom/google/common/collect/RegularImmutableList.offset I
NPE_GET,com.google.common.collect.RegularImmutableList.equals(Ljava/lang/Object;)Z,Lcom/google/common/collect/RegularImmutableList.offset I
