program,method,offset,target,label
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SUBQ.subq_long:(I)I,92,m68k/cpu/CpuCore$DataRegisterOperand.isRegisterMode:()Z,
url2f44efcfa6_wangyudong_sohutw_java_sdk_2_0_tgz-pJ8-com_sohu_t_api_sdk_json_TestJ8,com/sohu/t/api/sdk/json/Test.main:([Ljava/lang/String;)V,3034,com/sohu/t/api/sdk/json/JSONObject.<init>:()V,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,7436,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8,com/usps/evs/vo/ManifestDetailRawLineV20Vo.parseLine:(Ljava/lang/String;)I,1947,com/usps/evs/vo/ManifestDetailRawLineVo.setRateIndicator:(Ljava/lang/String;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SBCD.sbcd_ar:(I)I,70,m68k/cpu/CpuCore.readMemoryByte:(I)I,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/solver/DoubleCohoMatrix.negate:()Lcoho/common/matrix/BasicMatrix;,1,coho/lp/solver/DoubleCohoMatrix.negate:()Lcoho/lp/solver/DoubleCohoMatrix;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/BTST.btst_static_byte:(I)I,41,m68k/cpu/CpuCore$AddressRegisterWithDisplacementOperand.getByte:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ABCD.abcd_ar:(I)I,103,m68k/cpu/CpuCore.writeMemoryByte:(II)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ANDI_TO_CCR.disassembleOp:(IILm68k/cpu/Size;)Lm68k/cpu/DisassembledInstruction;,43,m68k/cpu/CpuCore.readMemoryWord:(I)I,
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParserTokenManager.jjMoveStringLiteralDfa0_0:()I,665,xx/XPathParserTokenManager.jjMoveStringLiteralDfa1_0:(JJ)I,
url7895f5cfa7_edm92_defaultlogic_tgz-pJ8-be_fnord_DefaultLogic_AppJ8,be/fnord/DefaultLogic/DefaultLogicExample.example11:()V,18,be/fnord/util/logic/defaultLogic/DefaultRule.<init>:()V,
