program,method,offset,target,label
url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,fri/patterns/interpreter/parsergenerator/lexer/Strategy.consume:(Lfri/patterns/interpreter/parsergenerator/lexer/InputText;ILjava/util/Map;)Lfri/patterns/interpreter/parsergenerator/lexer/Strategy$Item;,131,fri/patterns/interpreter/parsergenerator/lexer/Input.getMark:()I,
url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,fri/patterns/interpreter/parsergenerator/syntax/builder/SyntaxBuilderParserTables.loadParseActionTable:()V,118,fri/patterns/interpreter/parsergenerator/syntax/builder/SyntaxBuilderParserTables.loadParseAction_26:()V,
url2f44efcfa6_wangyudong_sohutw_java_sdk_2_0_tgz-pJ8-com_sohu_t_api_sdk_json_TestJ8,com/sohu/t/api/sdk/json/JSONArray.put:(Ljava/util/Collection;)Lcom/sohu/t/api/sdk/json/JSONArray;,6,com/sohu/t/api/sdk/json/JSONArray.<init>:(Ljava/util/Collection;)V,
url2f44efcfa6_wangyudong_sohutw_java_sdk_2_0_tgz-pJ8-com_sohu_t_api_sdk_json_TestJ8,com/sohu/t/api/sdk/json/JSONArray.<init>:(Ljava/lang/Object;)V,51,com/sohu/t/api/sdk/json/JSONException.<init>:(Ljava/lang/String;)V,
url2f44efcfa6_wangyudong_sohutw_java_sdk_2_0_tgz-pJ8-com_sohu_t_api_sdk_json_TestJ8,com/sohu/t/api/sdk/json/Test.main:([Ljava/lang/String;)V,4120,com/sohu/t/api/sdk/json/JSONObject.toString:(I)Ljava/lang/String;,
url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8,de/measite/minidns/recursive/RecursiveDNSClient.queryRecursive:(Lde/measite/minidns/recursive/RecursionState;Lde/measite/minidns/DNSMessage;Ljava/net/InetAddress;Lde/measite/minidns/DNSName;)Lde/measite/minidns/DNSMessage;,442,de/measite/minidns/recursive/RecursionState.decrementSteps:()V,
url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8,es/dagaren/gladiator/search/AlphaBetaSearcher.alphaBeta:(Les/dagaren/gladiator/representation/Position;IIII)I,751,es/dagaren/gladiator/representation/ZobristKey.getKey:()J,
url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8,darwin/geneticOperation/ShrinkMutation.performOperation:([Ldarwin/population/Individual;IZ)[Ldarwin/population/Individual;,26,darwin/nodeFilter/Functions.<init>:(Ljava/lang/Class;)V,
url47ebb27197_asirbu_CorrectiveEvolution_tgz-pJ8-eu_fbk_soa_evolution_engine_impl_test_ProblemToSMVFuncTestJ8,eu/fbk/soa/evolution/engine/impl/ProblemToSTS.transformCondition:(Leu/fbk/soa/evolution/engine/impl/Condition;I)Leu/fbk/soa/evolution/sts/STS;,368,eu/fbk/soa/evolution/engine/impl/ProblemToSTS.createTransition:(Leu/fbk/soa/evolution/sts/State;Leu/fbk/soa/process/StateFormula;Leu/fbk/soa/evolution/sts/Action;Leu/fbk/soa/evolution/sts/State;)Leu/fbk/soa/evolution/sts/Transition;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/Monitor.handleDisassemble:([Ljava/lang/String;)V,195,m68k/cpu/instructions/CMPM$3.disassemble:(II)Lm68k/cpu/DisassembledInstruction;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVEA.movea_long:(I)I,49,m68k/cpu/CpuCore$PCWithDisplacementOperand.index:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/CMPA.cmpa_long:(I)I,41,m68k/cpu/CpuCore$AbsoluteShortOperand.getLong:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ASL.asl_word_mem:(I)I,86,m68k/cpu/CpuCore$AddressRegisterPostIncOperand.getTiming:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/NOT.not_byte:(I)I,42,m68k/cpu/CpuCore$AddressRegisterWithDisplacementOperand.setByte:(I)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVE_FROM_SR.disassembleOp:(IILm68k/cpu/Size;)Lm68k/cpu/DisassembledInstruction;,6,m68k/cpu/DisassembledOperand.<init>:(Ljava/lang/String;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/AND.disassembleOp:(IILm68k/cpu/Size;)Lm68k/cpu/DisassembledInstruction;,26,m68k/cpu/CpuCore.disassembleSrcEA:(IIILm68k/cpu/Size;)Lm68k/cpu/DisassembledOperand;,
