program,method,offset,target,label
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/CMPA.cmpa_word:(I)I,41,m68k/cpu/CpuCore$AbsoluteLongOperand.getWordSigned:()I,
url78d0cbe382_TeeAaTeeUu_SitsiPlaseeraus_tgz-pJ8-sitsiplaseeraus_MainJ8,Lataaja/TiedostonKasittelija.run:()V,81,Lataaja/TiedostonKasittelija.avecit:(Ljava/io/BufferedReader;Ljava/lang/String;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVE_FROM_SR.move_from_sr:(I)I,46,m68k/cpu/CpuCore$AddressRegisterPostIncOperand.isRegisterMode:()Z,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/AND.and_word_ea_dest:(I)I,57,m68k/cpu/CpuCore$AbsoluteLongOperand.setWord:(I)V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/geom/twodim/Segment.baseCompareByAngle:(Lcoho/geom/twodim/Segment;)I,345,coho/common/number/CohoDouble.zero:()Lcoho/common/number/CohoNumber;,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/project/LPProject.findByLine:(Lcoho/common/matrix/Matrix;Lcoho/common/matrix/Matrix;Lcoho/common/matrix/Matrix;Lcoho/common/matrix/Matrix;)Lcoho/common/matrix/Matrix;,309,coho/common/number/IntegerInterval.negate:()Lcoho/common/number/CohoNumber;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/LSR.lsr_long_reg:(I)I,74,m68k/cpu/CpuCore.setDataRegisterLong:(II)V,
url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8,fr/inria/optimization/cmaes/CMAEvolutionStrategy.init:()[D,1608,fr/inria/optimization/cmaes/CMAEvolutionStrategy.warning:(Ljava/lang/String;)V,
urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8,com/usps/evs/vo/ManifestDetailRawLineV20Vo.parseLine:(Ljava/lang/String;)I,671,com/usps/evs/vo/ManifestDetailRawLineV20Vo.setApplicationIdentifier:(Ljava/lang/String;)V,
url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,ru/spbau/tinydb/btree/IndexNode.insert:(II)Lru/spbau/tinydb/btree/Split;,291,ru/spbau/tinydb/btree/Node.setLink:(I)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/CMPI.cmpi_word:(I)I,84,m68k/cpu/CpuCore$DataRegisterOperand.getTiming:()I,
url47ebb27197_asirbu_CorrectiveEvolution_tgz-pJ8-eu_fbk_soa_evolution_engine_impl_test_ProblemToSMVFuncTestJ8,eu/fbk/soa/evolution/engine/impl/ProblemToSMV.createConditionHeader:(Leu/fbk/soa/evolution/engine/impl/Condition;)Ljava/lang/String;,37,eu/fbk/soa/evolution/engine/impl/ProblemToSMV.getParameters:(Ljava/lang/String;)Ljava/util/Set;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ANDI_TO_CCR.disassembleOp:(IILm68k/cpu/Size;)Lm68k/cpu/DisassembledInstruction;,125,m68k/cpu/CpuCore.readMemoryLong:(I)I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/BTST.btst_static_byte:(I)I,41,m68k/cpu/CpuCore$AddressRegisterWithIndexOperand.getByte:()I,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,12064,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,12675,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
