analysis,cs-library,no-merge-library-objects,no-merges,data-flow-goto-lib,data-flow-only-lib,heapdl-nostrings,only-precise-native-strings,distinguish-reflection-only-string-constants,distinguish-string-buffers-per-package,reflection,reflection-classic,reflection-high-soundness-mode,Xgenerics-pre,Xreflection-coloring,Xreflection-context-sensitivity
1-call-site-sensitive,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
1-call-site-sensitive+heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
1-object-1-type-sensitive+heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
1-object-sensitive,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
1-object-sensitive+heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
1-type-sensitive,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
1-type-sensitive+heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
2-call-site-sensitive+2-heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
2-call-site-sensitive+heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
2-object-sensitive+2-heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
2-object-sensitive+heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
2-type-object-sensitive+2-heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
2-type-object-sensitive+heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
2-type-sensitive+heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
3-object-sensitive+3-heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
3-type-sensitive+2-heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false
3-type-sensitive+3-heap,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false

