analysis,cs-library,no-merge-library-objects,no-merges,data-flow-goto-lib,data-flow-only-lib,heapdl-nostrings,only-precise-native-strings,distinguish-reflection-only-string-constants,distinguish-string-buffers-per-package,reflection,reflection-classic,reflection-high-soundness-mode,Xgenerics-pre,Xreflection-coloring,Xreflection-context-sensitivity
context-insensitive,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
context-insensitive,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
1-call-site-sensitive,true,true,false,true,false,true,false,true,false,true,false,true,false,true,false
1-call-site-sensitive,false,false,true,false,true,false,true,false,true,false,true,false,true,false,true
1-call-site-sensitive+heap,true,true,true,false,false,true,true,false,false,true,true,false,false,true,true
1-call-site-sensitive+heap,false,false,false,true,true,false,false,true,true,false,false,true,true,false,false
1-object-1-type-sensitive+heap,true,true,true,false,true,false,false,true,false,true,true,false,true,false,false
1-object-1-type-sensitive+heap,false,false,false,true,false,true,true,false,true,false,false,true,false,true,true
1-object-sensitive,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
1-object-sensitive,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
1-type-sensitive+heap,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
1-type-sensitive+heap,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
2-call-site-sensitive+2-heap,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
2-call-site-sensitive+2-heap,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
2-type-object-sensitive+heap,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
2-type-object-sensitive+heap,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
2-type-sensitive+heap,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
2-type-sensitive+heap,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
3-object-sensitive+3-heap,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
3-object-sensitive+3-heap,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
3-type-sensitive+2-heap,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
3-type-sensitive+2-heap,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
3-type-sensitive+3-heap,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
3-type-sensitive+3-heap,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
adaptive-2-object-sensitive+heap,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
adaptive-2-object-sensitive+heap,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
basic-only,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
basic-only,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
context-insensitive-plus,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
context-insensitive-plus,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
context-insensitive-plusplus,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
context-insensitive-plusplus,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
data-flow,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
data-flow,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
dependency-analysis,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
dependency-analysis,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
fully-guided-context-sensitive,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
fully-guided-context-sensitive,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
micro,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
micro,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
partitioned-2-object-sensitive+heap,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
partitioned-2-object-sensitive+heap,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
selective-2-object-sensitive+heap,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
selective-2-object-sensitive+heap,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
sound-may-point-to,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
sound-may-point-to,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
sticky-2-object-sensitive,true,true,true,false,true,false,false,true,true,false,false,true,false,true,true
sticky-2-object-sensitive,false,false,false,true,false,true,true,false,false,true,true,false,true,false,false
