analysis,reflection,handleStaticInit,useConstantSpecificKeys,handleZeroLengthArray,useLexicalScopingForGlobals,useStacksForLexicalScoping
1cfa,FULL,true,false,true,false,false
2cfa,FULL,true,false,true,false,false
1obj,FULL,true,false,true,false,false
2obj,FULL,true,false,true,false,false
rta,FULL,true,false,true,false,false
VANILLA_1cfa,FULL,true,false,true,false,false
VANILLA_2cfa,FULL,true,false,true,false,false
VANILLA_1obj,FULL,true,false,true,false,false
VANILLA_2obj,FULL,true,false,true,false,false
ZEROONE_CFA,FULL,true,false,true,false,false
VANILLA_ZEROONECFA,FULL,true,false,true,false,false
ZEROONE_CONTAINER_CFA,FULL,true,false,true,false,false
VANILLA_ZEROONE_CONTAINER_CFA,FULL,true,false,true,false,false
ZERO_CONTAINER_CFA,FULL,true,false,true,false,false
0cfa,APPLICATION_GET_METHOD,true,false,true,false,false
0cfa,NO_FLOW_TO_CASTS,true,false,true,false,false
0cfa,NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,false,true,false,false
0cfa,NO_METHOD_INVOKE,true,false,true,false,false
0cfa,NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
0cfa,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,true,false,false
0cfa,ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,false,true,false,false
0cfa,MULTI_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,false,true,false,false
0cfa,NO_STRING_CONSTANTS,true,false,true,false,false
0cfa,STRING_ONLY,true,false,true,false,false
0cfa,NONE,true,false,true,false,false
0cfa,FULL,false,false,true,false,false
0cfa,FULL,true,true,true,false,false
0cfa,FULL,true,false,false,false,false
0cfa,FULL,true,false,true,true,false
0cfa,FULL,true,false,true,false,true
