analysis,reflection,handleStaticInit,useConstantSpecificKeys,handleZeroLengthArray,useLexicalScopingForGlobals,useStacksForLexicalScoping
0cfa,FULL,true,true,true,true,true
1cfa,APPLICATION_GET_METHOD,false,false,false,false,true
2cfa,NO_FLOW_TO_CASTS,false,true,false,true,false
1obj,NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,false,true,false,false
2obj,NO_METHOD_INVOKE,true,false,false,true,false
rta,NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,true,true,false,false
rta,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,false,true,true
2obj,ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,true,false,true
1obj,MULTI_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
2cfa,NO_STRING_CONSTANTS,true,false,true,false,true
1cfa,STRING_ONLY,true,true,true,true,false
0cfa,NONE,false,false,false,false,false
0cfa,STRING_ONLY,false,false,false,false,true
1cfa,NO_STRING_CONSTANTS,false,true,false,true,false
2cfa,MULTI_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,false,true,false,false
1obj,ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,true,false,false,true,false
2obj,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,true,true,false,false
rta,NONE,true,true,true,true,true
rta,FULL,false,false,false,false,false
2obj,APPLICATION_GET_METHOD,true,true,true,true,false
1obj,NO_FLOW_TO_CASTS,true,false,true,false,true
2cfa,NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,true,false,false,true,true
1cfa,NO_METHOD_INVOKE,false,true,true,false,true
0cfa,NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
0cfa,NO_METHOD_INVOKE,false,true,false,true,true
1cfa,NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,true,false,true,true
2cfa,NO_METHOD_INVOKE,false,true,false,true,true
1obj,NO_METHOD_INVOKE,false,true,false,true,true
2obj,NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,true,false,true,true
rta,NO_METHOD_INVOKE,false,true,false,true,true
rta,STRING_ONLY,false,true,false,true,true
2obj,STRING_ONLY,false,true,false,true,true
1obj,STRING_ONLY,false,true,false,true,true
2cfa,STRING_ONLY,false,true,false,true,true
1cfa,FULL,false,true,false,true,true
0cfa,NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,true,false,true,true
0cfa,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,true,false,true,true
1cfa,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,true,false,true,true
2cfa,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,true,false,true,true
1obj,ONE_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,true,false,true,true
2obj,FULL,false,true,false,true,true
rta,NO_STRING_CONSTANTS,false,true,false,true,true
rta,NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
2obj,NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
1obj,NO_FLOW_TO_CASTS_NO_METHOD_INVOKE,false,true,false,true,true
2cfa,FULL,false,true,false,true,true
1cfa,NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
0cfa,NO_STRING_CONSTANTS,false,true,false,true,true
0cfa,ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
1cfa,ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
2cfa,NO_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
1obj,FULL,false,true,false,true,true
2obj,NO_STRING_CONSTANTS,false,true,false,true,true
rta,ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
rta,NO_FLOW_TO_CASTS,false,true,false,true,true
2obj,NO_FLOW_TO_CASTS,false,true,false,true,true
1obj,NO_STRING_CONSTANTS,false,true,false,true,true
2cfa,ONE_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
1cfa,NO_FLOW_TO_CASTS,false,true,false,true,true
0cfa,NO_FLOW_TO_CASTS,false,true,false,true,true
0cfa,MULTI_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
1cfa,MULTI_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
2cfa,NONE,false,true,false,true,true
1obj,NONE,false,true,false,true,true
2obj,NONE,false,true,false,true,true
rta,MULTI_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
rta,APPLICATION_GET_METHOD,false,true,false,true,true
2obj,MULTI_FLOW_TO_CASTS_APPLICATION_GET_METHOD,false,true,false,true,true
1obj,APPLICATION_GET_METHOD,false,true,false,true,true
2cfa,APPLICATION_GET_METHOD,false,true,false,true,true
1cfa,NONE,false,true,false,true,true
0cfa,APPLICATION_GET_METHOD,false,true,false,true,true
